frame,parameter,value
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,0
4,$4002_period,1537
4,$400B_length,195
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
4,$4006_period,1537
4,$4008_linear,0
4,$400A_period,513
4,$400B_length,193
6,$400C_const,1
6,$400C_vol,0
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,15
6,$4001_sweep,0
6,$4002_period,1017
6,$400B_length,193
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,15
6,$4005_sweep,0
6,$4006_period,1013
6,$4008_linear,127
6,$400A_period,509
6,$400B_length,192
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,15
9,$4001_sweep,0
9,$4002_period,1141
9,$400B_length,194
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,15
9,$4005_sweep,0
9,$4006_period,1137
9,$4008_linear,127
9,$400A_period,571
9,$400B_length,193
10,$400E_period,8
10,$400E_mode,0
10,$400C_const,0
10,$400C_vol,0
10,$400E_period,12
10,$400E_mode,0
11,$400E_period,9
11,$400E_mode,0
12,$400E_period,6
12,$400E_mode,0
13,$400E_period,3
13,$400E_mode,0
14,$400E_period,6
14,$400E_mode,0
15,$400E_period,9
15,$400E_mode,0
16,$400E_period,12
16,$400E_mode,0
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,15
23,$4001_sweep,0
23,$4002_period,1017
23,$400B_length,193
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,15
23,$4005_sweep,0
