frame,parameter,value
201,$4000_duty,2
201,$4000_const,0
201,$4000_vol,15
201,$4001_sweep,4
201,$4002_period,3855
201,$400B_length,15
201,$4004_duty,1
201,$4004_const,0
201,$4004_vol,15
201,$4005_sweep,4
201,$4006_period,3841
466,$4010_rate,0
500,$4011_dac,8
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,36
500,$4011_dac,16
500,$4011_dac,36
500,$4011_dac,56
500,$4011_dac,28
