frame,parameter,value
0,$4000_duty,0
0,$4000_const,0
0,$4000_vol,0
0,$4004_duty,0
0,$4004_const,0
0,$4004_vol,0
0,$4008_linear,0
0,$400C_const,0
0,$400C_vol,0
1,$4000_duty,0
1,$4000_const,0
1,$4000_vol,0
1,$4004_duty,0
1,$4004_const,0
1,$4004_vol,0
1,$4008_linear,0
1,$400C_const,0
1,$400C_vol,0
2,$4000_duty,0
2,$4000_const,0
2,$4000_vol,0
2,$4004_duty,0
2,$4004_const,0
2,$4004_vol,0
2,$4008_linear,0
2,$400C_const,0
2,$400C_vol,0
3,$4000_duty,0
3,$4000_const,0
3,$4000_vol,0
3,$4004_duty,0
3,$4004_const,0
3,$4004_vol,0
3,$4008_linear,0
3,$400C_const,0
3,$400C_vol,0
4,$4000_duty,0
4,$4000_const,0
4,$4000_vol,0
4,$4004_duty,0
4,$4004_const,0
4,$4004_vol,0
4,$4008_linear,0
4,$400C_const,0
4,$400C_vol,0
5,$4000_duty,0
5,$4000_const,0
5,$4000_vol,0
5,$4004_duty,0
5,$4004_const,0
5,$4004_vol,0
5,$4008_linear,0
5,$400C_const,0
5,$400C_vol,0
6,$4000_duty,0
6,$4000_const,0
6,$4000_vol,0
6,$4004_duty,0
6,$4004_const,0
6,$4004_vol,0
6,$4008_linear,0
6,$400C_const,0
6,$400C_vol,0
7,$4000_duty,0
7,$4000_const,0
7,$4000_vol,0
7,$4004_duty,0
7,$4004_const,0
7,$4004_vol,0
7,$4008_linear,0
7,$400C_const,0
7,$400C_vol,0
8,$4000_duty,0
8,$4000_const,0
8,$4000_vol,0
8,$4004_duty,0
8,$4004_const,0
8,$4004_vol,0
8,$4008_linear,0
8,$400C_const,0
8,$400C_vol,0
9,$4000_duty,0
9,$4000_const,0
9,$4000_vol,0
9,$4004_duty,0
9,$4004_const,0
9,$4004_vol,0
9,$4008_linear,0
9,$400C_const,0
9,$400C_vol,0
10,$4000_duty,0
10,$4000_const,0
10,$4000_vol,0
10,$4004_duty,0
10,$4004_const,0
10,$4004_vol,0
10,$4008_linear,0
10,$400C_const,0
10,$400C_vol,0
11,$4000_duty,0
11,$4000_const,0
11,$4000_vol,0
11,$4004_duty,0
11,$4004_const,0
11,$4004_vol,0
11,$4008_linear,0
11,$400C_const,0
11,$400C_vol,0
12,$4000_duty,0
12,$4000_const,0
12,$4000_vol,0
12,$4004_duty,0
12,$4004_const,0
12,$4004_vol,0
12,$4008_linear,0
12,$400C_const,0
12,$400C_vol,0
13,$4000_duty,0
13,$4000_const,0
13,$4000_vol,0
13,$4004_duty,0
13,$4004_const,0
13,$4004_vol,0
13,$4008_linear,0
13,$400C_const,0
13,$400C_vol,0
14,$4000_duty,0
14,$4000_const,0
14,$4000_vol,0
14,$4004_duty,0
14,$4004_const,0
14,$4004_vol,0
14,$4008_linear,0
14,$400C_const,0
14,$400C_vol,0
15,$4000_duty,0
15,$4000_const,0
15,$4000_vol,0
15,$4004_duty,0
15,$4004_const,0
15,$4004_vol,0
15,$4008_linear,0
15,$400C_const,0
15,$400C_vol,0
16,$4000_duty,0
16,$4000_const,0
16,$4000_vol,0
16,$4004_duty,0
