frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,8
0,$4001_sweep,8
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,8
0,$4005_sweep,8
0,$4008_linear,122
0,$400C_const,1
0,$400C_vol,0
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,8
1,$4001_sweep,8
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,8
1,$4005_sweep,8
1,$4008_linear,122
1,$400C_const,1
1,$400C_vol,0
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,8
2,$4001_sweep,8
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,8
2,$4005_sweep,8
2,$4008_linear,122
2,$400C_const,1
2,$400C_vol,0
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,8
3,$4001_sweep,8
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,8
3,$4005_sweep,8
3,$4008_linear,122
3,$400C_const,1
3,$400C_vol,0
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,8
4,$4001_sweep,8
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,8
4,$4005_sweep,8
4,$4008_linear,122
4,$400C_const,1
4,$400C_vol,0
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,8
5,$4001_sweep,8
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,8
5,$4005_sweep,8
5,$4008_linear,122
5,$400C_const,1
5,$400C_vol,0
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,8
6,$4001_sweep,8
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,8
6,$4005_sweep,8
6,$4008_linear,122
6,$400C_const,1
6,$400C_vol,0
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,8
7,$4001_sweep,8
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,8
7,$4005_sweep,8
7,$4008_linear,122
7,$400C_const,1
7,$400C_vol,0
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,8
8,$4001_sweep,8
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,8
8,$4005_sweep,8
8,$4008_linear,122
8,$400C_const,1
8,$400C_vol,0
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,8
9,$4001_sweep,8
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,8
9,$4005_sweep,8
9,$4008_linear,0
9,$400C_const,1
9,$400C_vol,0
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,8
10,$4001_sweep,8
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,8
10,$4005_sweep,8
10,$4008_linear,122
10,$400A_period,1357
10,$400B_length,2
10,$400C_const,1
10,$400C_vol,15
10,$400E_period,13
10,$400E_mode,0
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,8
11,$4001_sweep,8
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,8
11,$4005_sweep,8
11,$4008_linear,122
11,$400C_const,1
11,$400C_vol,3
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,8
12,$4001_sweep,8
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,8
12,$4005_sweep,8
12,$4008_linear,122
12,$400C_const,1
12,$400C_vol,0
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,8
13,$4001_sweep,8
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,8
13,$4005_sweep,8
13,$4008_linear,122
13,$400C_const,1
13,$400C_vol,0
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,8
14,$4001_sweep,8
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,8
14,$4005_sweep,8
14,$4008_linear,122
14,$400C_const,1
14,$400C_vol,0
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,8
15,$4001_sweep,8
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,8
15,$4005_sweep,8
15,$4008_linear,122
15,$400C_const,1
15,$400C_vol,0
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,8
16,$4001_sweep,8
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,8
16,$4005_sweep,8
16,$4008_linear,122
16,$400C_const,1
16,$400C_vol,0
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,8
17,$4001_sweep,8
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,8
17,$4005_sweep,8
17,$4008_linear,122
17,$400C_const,1
17,$400C_vol,0
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,8
18,$4001_sweep,8
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,8
18,$4005_sweep,8
18,$4008_linear,122
18,$400C_const,1
18,$400C_vol,0
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,8
19,$4001_sweep,8
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,8
19,$4005_sweep,8
19,$4008_linear,122
19,$400C_const,1
19,$400C_vol,0
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,8
20,$4001_sweep,8
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,8
20,$4005_sweep,8
20,$4008_linear,122
20,$400C_const,1
20,$400C_vol,0
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,8
21,$4001_sweep,8
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,8
21,$4005_sweep,8
21,$4008_linear,0
21,$400C_const,1
21,$400C_vol,0
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,8
22,$4001_sweep,8
22,$4002_period,335
22,$400B_length,0
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,8
22,$4005_sweep,8
22,$4006_period,447
22,$4008_linear,122
22,$400A_period,425
22,$400B_length,0
22,$400C_const,1
22,$400C_vol,15
22,$400E_period,4
22,$400E_mode,0
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,4
23,$4001_sweep,8
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,4
23,$4005_sweep,8
23,$4008_linear,122
23,$400C_const,1
23,$400C_vol,11
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,4
24,$4001_sweep,8
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,4
24,$4005_sweep,8
24,$4008_linear,122
24,$400C_const,1
24,$400C_vol,9
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,4
25,$4001_sweep,8
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,4
25,$4005_sweep,8
25,$4008_linear,122
25,$400A_period,677
25,$400B_length,1
25,$400C_const,1
25,$400C_vol,7
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,4
26,$4001_sweep,8
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,4
26,$4005_sweep,8
26,$4008_linear,122
26,$400C_const,1
26,$400C_vol,5
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,4
27,$4001_sweep,8
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,4
27,$4005_sweep,8
27,$4008_linear,122
27,$400C_const,1
27,$400C_vol,3
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,4
28,$4001_sweep,8
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,4
28,$4005_sweep,8
28,$4008_linear,122
28,$400C_const,1
28,$400C_vol,1
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,4
29,$4001_sweep,8
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,4
29,$4005_sweep,8
29,$4008_linear,122
29,$400C_const,1
29,$400C_vol,0
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,4
30,$4001_sweep,8
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,4
30,$4005_sweep,8
30,$4008_linear,122
30,$400C_const,1
30,$400C_vol,0
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,4
31,$4001_sweep,8
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,4
31,$4005_sweep,8
31,$4008_linear,122
31,$400C_const,1
31,$400C_vol,0
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,4
32,$4001_sweep,8
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,4
32,$4005_sweep,8
32,$4008_linear,122
32,$400C_const,1
32,$400C_vol,0
33,$4000_duty,1
33,$4000_const,1
33,$4000_vol,4
33,$4001_sweep,8
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,4
33,$4005_sweep,8
33,$4008_linear,122
33,$400C_const,1
33,$400C_vol,0
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,12
34,$4001_sweep,8
34,$4002_period,335
34,$400B_length,0
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,12
34,$4005_sweep,8
34,$4006_period,447
34,$4008_linear,122
34,$400A_period,425
34,$400B_length,0
34,$400C_const,1
34,$400C_vol,15
34,$400E_period,4
34,$400E_mode,0
35,$4000_duty,1
35,$4000_const,1
35,$4000_vol,8
35,$4001_sweep,8
35,$4004_duty,2
35,$4004_const,1
35,$4004_vol,8
35,$4005_sweep,8
35,$4008_linear,122
35,$400C_const,1
35,$400C_vol,11
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,8
36,$4001_sweep,8
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,8
36,$4005_sweep,8
36,$4008_linear,122
36,$400C_const,1
36,$400C_vol,9
37,$4000_duty,1
37,$4000_const,1
37,$4000_vol,8
37,$4001_sweep,8
37,$4004_duty,2
37,$4004_const,1
37,$4004_vol,8
37,$4005_sweep,8
37,$4008_linear,122
37,$400A_period,677
37,$400B_length,1
37,$400C_const,1
37,$400C_vol,7
38,$4000_duty,1
38,$4000_const,1
38,$4000_vol,8
38,$4001_sweep,8
38,$4004_duty,2
38,$4004_const,1
38,$4004_vol,8
38,$4005_sweep,8
38,$4008_linear,122
38,$400C_const,1
38,$400C_vol,5
39,$4000_duty,1
39,$4000_const,1
39,$4000_vol,8
39,$4001_sweep,8
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,8
39,$4005_sweep,8
39,$4008_linear,122
39,$400C_const,1
39,$400C_vol,3
40,$4000_duty,1
40,$4000_const,1
40,$4000_vol,8
40,$4001_sweep,8
40,$4004_duty,2
40,$4004_const,1
40,$4004_vol,8
40,$4005_sweep,8
40,$4008_linear,122
40,$400C_const,1
40,$400C_vol,1
41,$4000_duty,1
41,$4000_const,1
41,$4000_vol,8
41,$4001_sweep,8
41,$4004_duty,2
41,$4004_const,1
41,$4004_vol,8
41,$4005_sweep,8
41,$4008_linear,122
41,$400C_const,1
41,$400C_vol,0
42,$4000_duty,1
42,$4000_const,1
42,$4000_vol,8
42,$4001_sweep,8
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,8
42,$4005_sweep,8
42,$4008_linear,122
42,$400C_const,1
42,$400C_vol,0
43,$4000_duty,1
43,$4000_const,1
43,$4000_vol,8
43,$4001_sweep,8
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,8
43,$4005_sweep,8
43,$4008_linear,122
43,$400C_const,1
43,$400C_vol,0
44,$4000_duty,1
44,$4000_const,1
44,$4000_vol,8
44,$4001_sweep,8
44,$4004_duty,2
44,$4004_const,1
44,$4004_vol,8
44,$4005_sweep,8
44,$4008_linear,122
44,$400C_const,1
44,$400C_vol,0
45,$4000_duty,1
45,$4000_const,1
45,$4000_vol,8
45,$4001_sweep,8
45,$4004_duty,2
45,$4004_const,1
45,$4004_vol,8
45,$4005_sweep,8
45,$4008_linear,122
45,$400C_const,1
45,$400C_vol,0
46,$4000_duty,1
46,$4000_const,1
46,$4000_vol,8
46,$4001_sweep,8
